source,date,total_spend,total_impressions,total_clicks,total_installs,total_registrations
google,2024-01-02,64.74,1616,12,3,3
google,2024-01-03,95.44,2385,18,6,5
google,2024-01-04,149.35,3732,29,9,9
google,2024-01-05,228.93,5722,44,15,15
google,2024-01-06,354.67,8865,69,24,24
google,2024-01-07,428.66,10715,84,30,29
google,2024-01-08,478.75,11967,93,34,32
google,2024-01-09,512.83,12819,101,37,35
google,2024-01-10,608.78,15218,121,43,42
google,2024-01-11,707.5,17687,140,51,49
google,2024-01-12,917.86,22946,183,66,64
google,2024-01-13,1062.7,26566,211,77,74
google,2024-01-14,1123.79,28093,222,82,79
google,2024-01-15,1221.43,30535,243,88,85
google,2024-01-16,1274.32,31857,253,93,88
google,2024-01-17,1438.17,35952,286,105,100
google,2024-01-18,1536.97,38422,306,113,108
google,2024-01-19,1584.95,39621,316,116,111
google,2024-01-20,1637.35,40932,326,119,115
google,2024-01-21,1719.61,42989,342,126,121
google,2024-01-22,1757.15,43927,351,128,123
google,2024-01-23,1840.24,46004,366,134,129
google,2024-01-24,1958.44,48959,391,143,137
google,2024-01-25,1986.01,49649,396,146,140
google,2024-01-26,2040.13,51001,407,149,143
google,2024-01-27,2094.38,52358,417,154,148
google,2024-01-28,2171.37,54283,433,159,152
google,2024-01-29,2224.6,55614,443,163,157
google,2024-01-30,2275.39,56883,454,167,160
google,2024-01-31,2423.59,60588,483,179,170
google,2024-02-01,2531.67,63291,505,186,177
google,2024-02-02,2605.87,65146,520,191,184
google,2024-02-03,2687.28,67180,536,197,190
google,2024-02-04,2714.93,67871,541,200,191
google,2024-02-05,2818.42,70459,562,207,199
google,2024-02-06,2883.37,72082,575,212,203
google,2024-02-07,2911.16,72778,581,215,206
google,2024-02-08,2961.44,74034,591,218,208
google,2024-02-09,3016.21,75403,602,222,213
google,2024-02-10,3061.42,76535,611,225,216
google,2024-02-11,3146.5,78661,628,231,222
google,2024-02-12,3255.93,81397,650,239,230
google,2024-02-13,3299.2,82479,658,243,233
google,2024-02-14,3374.72,84366,674,248,238
google,2024-02-15,3591.45,89785,717,264,254
google,2024-02-16,3721.63,93040,743,274,262
google,2024-02-17,3802.23,95055,759,281,268
google,2024-02-18,3837.39,95933,766,283,271
google,2024-02-19,3867.53,96687,772,285,272
google,2024-02-20,3997.6,99939,798,294,282
google,2024-02-21,4060.67,101515,811,299,286
google,2024-02-22,4104.93,102621,819,302,290
google,2024-02-23,4196.92,104921,837,309,297
google,2024-02-24,4288.74,107216,857,317,303
google,2024-02-25,4428.05,110699,884,326,314
google,2024-02-26,4599.17,114977,918,338,324
google,2024-02-27,4681.63,117040,935,345,331
google,2024-02-28,4761.82,119044,952,351,337
google,2024-02-29,4836.15,120903,965,356,342
google,2024-03-01,4921,123024,983,363,349
google,2024-03-02,4971.35,124282,992,366,351
google,2024-03-03,5020.28,125505,1002,369,355
google,2024-03-04,5116.45,127910,1022,377,362
google,2024-03-05,5152.08,128801,1029,379,364
google,2024-03-06,5229.63,130739,1044,386,369
google,2024-03-07,5302.26,132555,1059,391,375
google,2024-03-08,5452.16,136302,1089,402,385
google,2024-03-09,5565.79,139143,1111,411,394
google,2024-03-10,5649.17,141227,1128,416,400
google,2024-03-11,5753.83,143844,1149,424,407
google,2024-03-12,5873.16,146828,1173,433,415
google,2024-03-13,5942,148549,1188,439,421
google,2024-03-14,6006.94,150172,1201,443,425
google,2024-03-15,6051.06,151275,1208,446,428
google,2024-03-16,6129.71,153241,1224,452,433
google,2024-03-17,6196.47,154910,1237,457,438
google,2024-03-18,6298.7,157466,1258,465,446
google,2024-03-19,6387.87,159696,1276,471,452
google,2024-03-20,6532.35,163308,1304,481,463
google,2024-03-21,6550.95,163773,1309,483,464
google,2024-03-22,6647.7,166191,1328,490,471
google,2024-03-23,6726.1,168151,1344,496,475
google,2024-03-24,6759.24,168979,1350,499,479
google,2024-03-25,6813.24,170330,1362,503,483
google,2024-03-26,6874.57,171863,1374,507,487
google,2024-03-27,6947.45,173684,1387,513,492
google,2024-03-28,7005.55,175137,1400,517,496
google,2024-03-29,7090.34,177258,1417,523,502
google,2024-03-30,7197.29,179931,1439,530,509
google,2024-03-31,7274.51,181862,1453,537,515
google,2024-04-01,7334.12,183352,1465,541,519
